Crossline,Measure,GBD,Gamma,Relative dose difference,average,,,,,,,
-117,0.96,1.2,0.99,0.25,0.071885209,,,,1,,,
-116,0.98,1.2,0.24,0.224489796,,,,,1,234,,100
-115,0.98,1.2,0.22,0.224489796,,,,,1,0,,
-114,1,1.2,0.22,0.2,,,,,1,,,
-113,1.03,1.2,0.2,0.165048544,,,,,1,,,
-112,1.04,1.3,0.17,0.25,,,,,1,,,
-111,1.06,1.3,0.26,0.226415094,,,,,1,,,
-110,1.09,1.3,0.24,0.19266055,,,,,1,,,
-109,1.11,1.3,0.21,0.171171171,,,,,1,,,
-108,1.15,1.4,0.19,0.217391304,,,,,1,,,
-107,1.17,1.4,0.25,0.196581197,,,,,1,,,
-106,1.18,1.4,0.23,0.186440678,,,,,1,,,
-105,1.21,1.4,0.22,0.157024793,,,,,1,,,
-104,1.25,1.5,0.2,0.2,,,,,1,,,
-103,1.28,1.5,0.25,0.171875,,,,,1,,,
-102,1.31,1.5,0.22,0.145038168,,,,,1,,,
-101,1.34,1.6,0.19,0.194029851,,,,,1,,,
-100,1.37,1.6,0.25,0.167883212,,,,,1,,,
-99,1.41,1.6,0.23,0.134751773,,,,,1,,,
-98,1.45,1.7,0.2,0.172413793,,,,,1,,,
-97,1.48,1.7,0.25,0.148648649,,,,,1,,,
-96,1.51,1.7,0.22,0.125827815,,,,,1,,,
-95,1.56,1.8,0.2,0.153846154,,,,,1,,,
-94,1.6,1.8,0.24,0.125,,,,,1,,,
-93,1.63,1.9,0.2,0.165644172,,,,,1,,,
-92,1.67,1.9,0.27,0.137724551,,,,,1,,,
-91,1.71,2,0.24,0.169590643,,,,,1,,,
-90,1.76,2,0.29,0.136363636,,,,,1,,,
-89,1.8,2,0.24,0.111111111,,,,,1,,,
-88,1.87,2.1,0.2,0.122994652,,,,,1,,,
-87,1.91,2.1,0.23,0.09947644,,,,,1,,,
-86,1.95,2.2,0.19,0.128205128,,,,,1,,,
-85,2,2.2,0.25,0.1,,,,,1,,,
-84,2.06,2.3,0.2,0.116504854,,,,,1,,,
-83,2.13,2.4,0.25,0.126760563,,,,,1,,,
-82,2.18,2.4,0.27,0.100917431,,,,,1,,,
-81,2.24,2.5,0.22,0.116071429,,,,,1,,,
-80,2.32,2.5,0.26,0.077586207,,,,,1,,,
-79,2.39,2.6,0.19,0.087866109,,,,,1,,,
-78,2.46,2.7,0.22,0.097560976,,,,,1,,,
-77,2.55,2.8,0.24,0.098039216,,,,,1,,,
-76,2.64,2.9,0.25,0.098484848,,,,,1,,,
-75,2.72,3,0.26,0.102941176,,,,,1,,,
-74,2.81,3.1,0.28,0.103202847,,,,,1,,,
-73,2.92,3.2,0.29,0.095890411,,,,,1,,,
-72,3.03,3.3,0.28,0.089108911,,,,,1,,,
-71,3.14,3.4,0.27,0.082802548,,,,,1,,,
-70,3.25,3.5,0.26,0.076923077,,,,,1,,,
-69,3.39,3.6,0.25,0.061946903,,,,,1,,,
-68,3.52,3.8,0.22,0.079545455,,,,,1,,,
-67,3.65,3.9,0.28,0.068493151,,,,,1,,,
-66,3.81,4.1,0.25,0.076115486,,,,,1,,,
