Depth,Measure,GBD,Gamma,Relative dose difference
0,61.34,62.24,0.43,1.47
1,65.58,66.82,0.09,1.89
2,72.85,74.24,0.06,1.91
3,80.46,82.28,0.08,2.26
4,86.38,88.05,0.1,1.93
5,90.73,91.87,0.08,1.26
6,93.93,94.7,0.03,0.82
7,96.07,96.71,0.01,0.67
8,97.68,97.93,0.14,0.26
9,98.72,99,0.2,0.28
10,99.36,99.51,0.31,0.15
11,99.75,99.94,0.34,0.19
12,99.97,99.96,0.5,0.01
13,100,100,0.5,0
14,99.82,99.83,0.47,0.01
15,99.56,99.67,0.4,0.11
16,99.26,99.26,0.41,0
17,98.94,98.96,0.43,0.02
18,98.54,98.53,0.41,0.01
19,98.13,98.12,0.41,0.01
20,97.7,97.59,0.43,0.11
21,97.26,97.31,0.4,0.05
22,96.76,96.83,0.33,0.07
23,96.35,96.32,0.39,0.03
24,95.81,95.74,0.39,0.07
25,95.38,95.38,0.41,0
26,94.91,94.9,0.38,0.01
27,94.39,94.4,0.36,0.01
28,93.95,93.94,0.38,0.01
29,93.41,93.41,0.35,0
30,92.84,92.97,0.29,0.14
31,92.4,92.47,0.31,0.08
32,91.98,92.06,0.33,0.09
33,91.52,91.56,0.33,0.04
34,90.93,91.16,0.22,0.25
35,90.45,90.56,0.26,0.12
36,90.02,90.06,0.32,0.04
37,89.52,89.46,0.35,0.07
38,89.04,89.06,0.35,0.02
39,88.55,88.56,0.34,0.01
40,88.03,88.16,0.28,0.15
41,87.5,87.56,0.28,0.07
42,87.05,87,0.35,0.06
43,86.56,86.53,0.36,0.03
44,86.04,86.12,0.3,0.09
45,85.6,85.71,0.28,0.13
46,85.07,85.21,0.24,0.16
47,84.53,84.7,0.22,0.2
48,84.03,84.19,0.22,0.19
49,83.6,83.73,0.25,0.16
50,83.19,83.29,0.27,0.12
51,82.72,82.71,0.31,0.01
52,82.27,82.39,0.27,0.15
53,81.76,81.82,0.26,0.07
54,81.27,81.29,0.3,0.02
55,80.76,80.87,0.25,0.14
56,80.26,80.57,0.14,0.39
57,79.8,79.92,0.21,0.15
58,79.38,79.55,0.22,0.21
59,78.88,79.09,0.18,0.27
60,78.33,78.5,0.18,0.22
61,77.91,78.05,0.22,0.18
62,77.52,77.53,0.29,0.01
63,76.98,77.13,0.22,0.19
64,76.48,76.75,0.14,0.35
65,76.05,76.23,0.18,0.24
66,75.55,75.71,0.19,0.21
67,75.12,75.39,0.14,0.36
68,74.72,74.89,0.18,0.23
69,74.27,74.46,0.18,0.26
70,73.84,74.04,0.17,0.27
71,73.33,73.63,0.1,0.41
72,72.81,73.05,0.12,0.33
73,72.45,72.68,0.15,0.32
74,72.02,72.21,0.17,0.26
75,71.53,71.75,0.14,0.31
76,71.07,71.32,0.12,0.35
77,70.68,70.93,0.12,0.35
78,70.22,70.55,0.07,0.47
79,69.79,69.95,0.16,0.23
80,69.38,69.63,0.12,0.36
81,68.95,69.28,0.07,0.48
82,68.5,68.85,0.04,0.51
83,68.11,68.4,0.08,0.43
84,67.7,68.08,0.03,0.56
85,67.3,67.62,0.06,0.48
86,66.8,67.21,0,0.61
87,66.34,66.7,0.03,0.54
88,66.02,66.29,0.09,0.41
89,65.62,65.92,0.07,0.46
90,65.23,65.51,0.08,0.43
91,64.78,65.04,0.09,0.4
92,64.33,64.71,0.01,0.59
93,64.03,64.29,0.09,0.41
94,63.53,63.88,0.03,0.55
95,63.05,63.51,0.05,0.73
96,62.75,63.08,0.04,0.53
97,62.36,62.72,0.02,0.58
98,62.01,62.3,0.06,0.47
99,61.64,61.9,0.08,0.42
100,61.13,61.5,0,0.61
101,60.71,61.12,0.03,0.68
